method      jacobi       qr           linear           others
Basic 			19.9707498550 60.9189932346 340.0858011246 64.812951
Deflation    1.7029097080 6.9946515560 205.0970411301  5.70916475 
Davidson	  41.4001302719 21.4587855339 49.8578596115  3.3794287
